dates,24smi_clicks,24smi_shows,24smi_ctr,24smi_k,smi2_clicks,smi2_shows,smi2_ctr,smi2_k,infox_clicks,infox_shows,infox_ctr,infox_k
2024-01-10,16941,211824,8.0,4.88,23533.0,138387.0,10.58,1.3,14275.0,120686.0,11.83,1.5
2024-01-09,11355,206889,5.49,0.58,17710.0,135659.0,8.01,1.3,12055.0,115719.0,10.42,3.23
2024-01-08,12649,269228,4.7,0.54,17210.0,201039.0,6.11,1.6,16849.0,140308.0,12.01,1.33
2024-01-07,8312,168233,4.94,0.81,13841.0,125106.0,7.74,1.2,10719.0,93198.0,11.5,1.35
2024-01-06,6838,122505,5.58,0.68,9095.0,85802.0,6.92,1.5,7475.0,74001.0,10.1,1.81
2024-01-05,7065,119350,5.92,0.47,9355.0,85752.0,6.95,1.6,7307.0,79443.0,9.2,1.63
2024-01-03,10370,182557,5.68,0.74,14534.0,142712.0,7.6,1.4,11646.0,108316.0,10.75,1.77
2024-01-02,7967,186667,4.27,0.38,15972.0,142988.0,7.91,1.5,10844.0,104249.0,10.4,2.08
2024-01-01,7218,159974,4.51,1.55,14666.0,123309.0,8.49,1.4,9522.0,96422.0,9.88,1.83
2023-12-31,5142,145263,3.54,1.8,9651.0,103544.0,6.09,1.5,7052.0,85064.0,8.29,4.34
2023-12-30,7172,180007,3.98,2.18,11399.0,133024.0,5.84,1.5,9513.0,103812.0,9.16,1.94
2023-12-29,6408,135707,4.72,2.68,8293.0,91303.0,5.57,1.7,7118.0,80279.0,8.87,3.31
2023-12-28,7363,142328,5.17,2.76,9088.0,89758.0,5.79,1.5,6101.0,84420.0,7.23,2.54
2023-12-27,9590,161938,5.92,3.51,10974.0,112891.0,5.56,1.5,6250.0,107926.0,5.79,1.74
2023-12-26,16415,248711,6.6,2.14,17143.0,167434.0,6.39,1.5,10819.0,134179.0,8.06,1.31
2023-12-25,6393,112682,5.67,2.45,11943.0,74415.0,"8,23",,4744.0,69866.0,"3,8",
2023-12-24,2050,28336,7.23,3.7,3296.0,21012.0,"5,98",,1666.0,33096.0,"3,4",
2023-12-23,2241,30398,7.37,2.46,4133.0,22480.0,"3,85",,2378.0,33934.0,"4,6",
2023-12-22,2024,34437,5.88,2.15,4371.0,24110.0,"1,54",,2457.0,35458.0,"4,6",
2023-12-21,2153,36304,5.93,2.57,3953.0,24690.0,"1,97",,2680.0,34229.0,5,
2023-12-20,3100,39767,7.8,2.05,4032.0,26760.0,"1,34",,826.0,37592.0,"1,5",
2023-12-19,3180,45323,7.02,0.78,5177.0,31941.0,"2,45",,3072.0,42188.0,"4,6",
2023-12-18,3487,44559,7.83,0.34,5362.0,31624.0,"1,39",,3814.0,43927.0,"5,6",
2023-12-17,2422,32305,7.5,0.33,4023.0,22361.0,"0,6",,2725.0,31704.0,"5,5",
2023-12-16,2175,28196,7.71,0.5,3393.0,20740.0,"0,54",,2364.0,31570.0,"4,9",
2023-12-15,2228,34772,6.41,1.45,3785.0,27864.0,"0,54",,2696.0,46220.0,"3,8",
2023-12-14,2980,43216,6.9,1.33,4112.0,29551.0,"1,43",,3464.0,44523.0,"5,1",
2023-12-13,3298,45742,7.21,0.98,5217.0,32277.0,"1,1",,4227.0,43449.0,"6,2",
2023-12-12,2536,38200,6.64,8.15,4369.0,26863.0,"1,03",,3569.0,38512.0,6,
2023-12-11,2057,35432,5.81,1.22,3470.0,24426.0,"1,07",,2659.0,35143.0,5,
2023-12-10,1459,27474,5.31,0.37,2662.0,19410.0,"1,16",,1853.0,30025.0,"4,1",
2023-12-09,1744,30484,5.72,1.92,3376.0,21135.0,"1,24",,2290.0,31892.0,"4,7",
2023-12-08,2273,36219,6.28,2.44,4329.0,25012.0,"1,3",,3057.0,35093.0,"5,6",
2023-12-07,2900,42643,6.8,1.44,4909.0,29450.0,"2,94",,3577.0,40396.0,"5,7",
2023-12-06,2766,42890,6.45,1.78,4733.0,30095.0,"0,99",,3508.0,41615.0,"5,4",
2023-12-05,2252,40877,5.51,1.64,4153.0,29125.0,"2,56",,2970.0,40219.0,"4,8",
2023-12-04,2845,43287,6.57,1.5,4787.0,29760.0,"0,69",,2494.0,41575.0,"3,9",
2023-12-03,1745,32342,5.4,2.4,2942.0,23994.0,"1,06",,1687.0,35729.0,"3,1",
2023-12-02,1800,34797,5.17,2.47,3658.0,26672.0,"0,74",,2012.0,38718.0,"3,4",
2023-12-01,3631,51921,6.99,9.48,6043.0,36299.0,"7,49",,4316.0,48264.0,"5,7",
2023-11-30,2898,40788,7.11,1.9,4948.0,,,,3816.0,38014.0,"6,5",
